epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.63603,1.69094,4.22748,1.57981,0.00407,0.75,0.0894,0.03063,1.20556,3.96785,1.97488,8.75e-05,8.75e-05,8.75e-05
2,2.81994,0.93769,3.50222,1.05309,0.00498,0.75,0.41411,0.34456,0.45744,3.29689,0.91524,0.000183787,0.000183787,0.000183787
3,3.99069,0.70004,2.82225,0.92232,0.00401,0.75,0.42768,0.35116,0.61067,3.24586,0.97171,0.000276115,0.000276115,0.000276115
4,5.16231,0.67251,2.34475,0.91783,0.00439,0.75,0.48533,0.41724,0.59195,3.15613,0.93171,0.000364482,0.000364482,0.000364482
5,6.33306,0.66098,2.10026,0.92604,0.00566,0.775,0.55059,0.48813,0.59749,3.05856,0.93055,0.00044889,0.00044889,0.00044889
6,7.51012,0.69163,1.78921,0.93435,0.00603,0.875,0.81087,0.65877,0.70633,2.91695,1.01536,0.000529338,0.000529338,0.000529338
7,8.78594,0.67028,1.52913,0.91483,0.99756,0.25,0.8268,0.69378,0.49842,2.92158,0.93945,0.000605825,0.000605825,0.000605825
8,10.012,0.67618,1.35917,0.93398,0.99618,0.25,0.995,0.86133,0.57055,2.60598,0.93434,0.000678352,0.000678352,0.000678352
9,11.2215,0.65006,1.2304,0.91754,0.87856,0.25,0.98406,0.86469,0.565,2.72023,0.99462,0.00074692,0.00074692,0.00074692
10,12.4188,0.57708,1.1913,0.89359,0.99495,0.57004,0.995,0.85221,0.74869,2.22669,0.98703,0.000811528,0.000811528,0.000811528
11,13.6172,0.58038,1.12851,0.90608,0.89078,0.5,0.995,0.85323,0.66951,2.62885,0.94502,0.000872175,0.000872175,0.000872175
12,14.8102,0.65001,1.1276,0.89749,0.98413,0.45727,0.995,0.85613,0.49593,2.79814,0.92697,0.000928863,0.000928863,0.000928863
13,16.0042,0.64274,1.08903,0.89931,0.97507,0.74542,0.995,0.82764,0.48755,1.33197,0.91402,0.000953,0.000953,0.000953
14,17.1929,0.64555,1.02136,0.90501,0.82356,0.87395,0.93131,0.75593,0.72231,2.13905,1.0002,0.00092825,0.00092825,0.00092825
15,18.3865,0.62112,1.06341,0.91208,0.96671,0.87083,0.995,0.82611,0.74205,1.37447,0.98557,0.0009035,0.0009035,0.0009035
16,19.5871,0.57264,1.02152,0.90519,0.88425,1,0.995,0.74867,0.83543,1.2271,1.03043,0.00087875,0.00087875,0.00087875
17,20.945,0.59478,0.9607,0.90106,0.95943,1,0.995,0.80509,0.51594,0.94322,0.98198,0.000854,0.000854,0.000854
18,22.3181,0.63743,0.99827,0.90238,0.96985,1,0.995,0.83697,0.49824,1.05431,0.94201,0.00082925,0.00082925,0.00082925
19,23.5395,0.53655,0.92974,0.91071,0.96901,1,0.995,0.86713,0.43476,1.08036,0.91936,0.0008045,0.0008045,0.0008045
20,24.7555,0.58041,0.88904,0.88989,0.93789,0.95043,0.995,0.87914,0.44151,2.11509,0.91268,0.00077975,0.00077975,0.00077975
21,25.9597,0.5391,0.87625,0.9202,0.95419,1,0.995,0.90588,0.51144,0.8055,0.91043,0.000755,0.000755,0.000755
22,27.1689,0.56252,0.9158,0.89719,0.97304,1,0.995,0.88295,0.69292,0.7478,0.9477,0.00073025,0.00073025,0.00073025
23,28.3777,0.57227,0.91382,0.91084,0.98096,1,0.995,0.8785,0.57921,0.69857,0.91951,0.0007055,0.0007055,0.0007055
24,29.5674,0.53566,0.82827,0.86717,0.79498,0.82184,0.82615,0.70493,0.57279,3.20185,0.92238,0.00068075,0.00068075,0.00068075
25,30.7725,0.52418,0.81985,0.87334,0.78316,0.88223,0.87623,0.76621,0.60555,2.10412,0.91346,0.000656,0.000656,0.000656
26,31.9854,0.51381,0.81253,0.8939,0.9914,1,0.995,0.87246,0.44822,0.62876,0.90585,0.00063125,0.00063125,0.00063125
27,33.1961,0.54166,0.82988,0.89003,0.99215,1,0.995,0.87456,0.5784,0.6209,0.91017,0.0006065,0.0006065,0.0006065
28,34.3946,0.5226,0.78821,0.89572,0.99201,1,0.995,0.88601,0.6,0.73171,0.9221,0.00058175,0.00058175,0.00058175
29,35.6044,0.52253,0.8035,0.92426,0.99321,1,0.995,0.89458,0.59238,0.68396,0.91212,0.000557,0.000557,0.000557
30,36.7914,0.51202,0.73122,0.89245,0.9934,1,0.995,0.90851,0.58533,0.69414,0.90534,0.00053225,0.00053225,0.00053225
31,37.9957,0.51485,0.71238,0.8956,0.99275,1,0.995,0.89348,0.49689,0.62441,0.90202,0.0005075,0.0005075,0.0005075
32,39.1932,0.49342,0.76077,0.87402,0.99211,1,0.995,0.89246,0.46873,0.58432,0.89989,0.00048275,0.00048275,0.00048275
33,40.3916,0.52433,0.701,0.8979,0.99089,1,0.995,0.89634,0.41776,0.49967,0.89244,0.000458,0.000458,0.000458
34,41.5983,0.47337,0.75951,0.89463,0.99241,1,0.995,0.91226,0.44127,0.50275,0.89386,0.00043325,0.00043325,0.00043325
35,42.8331,0.47682,0.67397,0.88697,0.99105,1,0.995,0.91991,0.4541,0.52556,0.89512,0.0004085,0.0004085,0.0004085
36,44.0876,0.49682,0.66353,0.86873,0.98835,1,0.995,0.92389,0.47329,0.57414,0.89408,0.00038375,0.00038375,0.00038375
37,45.315,0.51314,0.67228,0.88164,0.99342,1,0.995,0.9225,0.46336,0.49552,0.89346,0.000359,0.000359,0.000359
38,46.4854,0.50719,0.6422,0.86418,0.99394,1,0.995,0.90912,0.42566,0.56713,0.89996,0.00033425,0.00033425,0.00033425
39,47.6568,0.41602,0.65512,0.85914,0.99161,1,0.995,0.90771,0.41905,0.537,0.89145,0.0003095,0.0003095,0.0003095
40,48.8283,0.49181,0.67836,0.88801,0.98474,1,0.995,0.91866,0.40561,0.5172,0.88508,0.00028475,0.00028475,0.00028475
41,50.3923,0.44564,0.81503,0.86081,0.98785,1,0.995,0.92177,0.45115,0.55309,0.89204,0.00026,0.00026,0.00026
42,51.5464,0.4283,0.82852,0.87359,0.98881,1,0.995,0.91298,0.51983,0.64695,0.89429,0.00023525,0.00023525,0.00023525
